abc1,abc2,abc3,abc4,Date,SI,OI
-0.067411269,-0.069978071,-0.067140562,-0.062952946,18/03/2008,-0.018506774,-0.077058
0.000607024,0.000945536,0.001390013,0.001632173,25/03/2008,-0.026066077,-0.044692
-0.10402512,-0.104638777,-0.102385024,-0.100399922,1/04/2008,-0.005707113,0.018978
-0.008191186,-0.007554882,-0.00821172,-0.008759312,8/04/2008,0.013188697,0.030681
-0.025449817,-0.028688857,-0.031515309,-0.033998879,15/04/2008,0.003599511,0.029047
-0.08242866,-0.09081077,-0.097496227,-0.102827263,22/04/2008,0.01564563,-0.104318
0.122591137,0.114398624,0.117773265,0.122325675,29/04/2008,-0.008240613,0.028401
-0.026248358,-0.026670726,-0.027468005,-0.027842647,6/05/2008,-0.000834636,0.056975
0.071215378,0.080658931,0.085944176,0.091235448,13/05/2008,0.000882085,0.054576
-0.029483238,-0.03419925,-0.038421419,-0.042161034,20/05/2008,-0.011614858,-0.12035
0.018296264,0.02018633,0.023164432,0.025755415,27/05/2008,-0.010767399,-0.017783
0.01255314,0.004873173,0.007409367,0.009148681,3/06/2008,-0.006376548,0.016793
0.022080483,0.019891118,0.018811181,0.0182181,10/06/2008,-0.007069217,0.063082
-0.111450268,-0.1182013,-0.121632421,-0.123116021,17/06/2008,-0.011414137,-0.083542
-0.013649395,-0.013732443,-0.014583221,-0.015514427,24/06/2008,0.011482426,-0.029132
-0.08780377,-0.088141974,-0.08167055,-0.077096356,1/07/2008,0.00471066,-0.011595
-0.080212447,-0.082803506,-0.086929399,-0.090900958,8/07/2008,-0.009733841,0.021798
0.044370511,0.041335269,0.039815633,0.037544931,15/07/2008,0.005901213,0.028133
-0.060926649,-0.061601509,-0.064597246,-0.067959472,22/07/2008,-0.019638223,-0.127036
-0.211907024,-0.208284381,-0.209612091,-0.211018331,29/07/2008,0.002449294,0.003162
0.074947481,0.075798554,0.074748722,0.074145859,5/08/2008,-0.003901735,0.028765
-0.015276466,-0.016872206,-0.018261683,-0.018924529,12/08/2008,-0.00291203,-0.007887
0.023879738,0.024481966,0.022088557,0.020203149,19/08/2008,0.017040012,-0.037657
-0.003773573,-0.003316318,-0.003976807,-0.004338346,26/08/2008,0.007294634,-0.016135
0.011257477,0.013894882,0.014211666,0.014058579,2/09/2008,-0.005299249,0.039253
0.003044467,0.001737245,0.001097857,0.000509509,9/09/2008,-0.006535733,0.004574
0.31223313,0.326355379,0.336429827,0.341500599,16/09/2008,0.010462568,0.010179
0.108978983,0.10518354,0.102242789,0.101086138,23/09/2008,0.021870677,-0.128241
-0.172375319,-0.162304011,-0.157287087,-0.152852283,30/09/2008,-0.000777011,-0.020977
0.037605599,0.035624972,0.031192372,0.028748052,7/10/2008,-0.0333085,-0.004842
0.32419919,0.343135029,0.35552931,0.357264791,14/10/2008,-0.005134689,0.002682
-0.012909719,-0.010808975,-0.009586587,-0.008446877,21/10/2008,0.002208153,-0.054554
0.01905619,0.015741266,0.015142445,0.014758843,28/10/2008,-0.008299302,0.037462
0.000971789,-0.00271593,-0.004394969,-0.00488802,4/11/2008,-0.001535558,0.052207
0.03758294,0.037479873,0.037703338,0.038188395,11/11/2008,-0.036515414,0.029374
0.093801361,0.091722462,0.086891072,0.083161597,18/11/2008,0.055669207,-0.032136
